id,model_name,training_time_s,accuracy,cpu_usage_time,memo_usage_mib,cpu_limit_util,cpu_percent_util_min,cpu_percent_util_max,memory_percentage,power_use_memory,energy_use_memory,power_min_skylake_cpu,power_use_skylake_cpu,power_min_broadwell_cpu,power_use_broadwell_cpu,power_min_haswell_cpu,power_use_haswell_cpu,min_power_amd_cpu_n_4,power_amd,energy_use_skylake_cpu,energy_use_broadwell_cpu,energy_use_haswell_cpu,total_energy_skylake,total_energy_broadwell,total_energy_haswell,avg_energy,experiment,num_layers,max_epoch,batch_size,no_nodes,accelerator
cfaede5c-5d1f-4a25-ab1b-d40d5f795002,cifar10_cnn,1822,64.22,2.006,1033.216,0.671,1.7962,47.01,0.129152,0.387456,705.944832,0.4176165,11.15111998,0.3161312,8.441277923,0.3816925,10.19188386,2.36487692,63.14651428,113034.1918,108911.5194,111574.8388,113740.1367,109617.4643,112280.7836,111879.4615,3,1,25,128,4,on
3d72e739-7f77-4a21-a480-c9a38531d401,cifar10_cnn,1674,64.22,2.242,1057.792,0.7182,1.8278,48.43,0.132224,0.396672,664.028928,0.4249635,11.47912868,0.3216928,8.689576977,0.3884075,10.49167675,2.40648148,65.0039605,106907.2972,103008.0897,105527.0468,107571.3261,103672.1187,106191.0757,105811.5068,3,1,25,128,4,on
19db07e7-873b-4b44-bbe1-a92d62fb0aef,cifar10_cnn,1760,64.22,2.279,1131.52,0.7161,1.943,48.58,0.14144,0.42432,746.8032,0.4517475,11.52713856,0.341968,8.725919946,0.4128875,10.53555675,2.5581538,65.27583068,112869.6436,108752.9727,111412.415,113616.4468,109499.7759,112159.2182,111758.4803,3,1,25,128,4,on
779c451e-55e2-4c3f-b09b-f4d605f6655a,cifar10_resnet,12929,77.25,2.135,1422.336,0.707,1.807,51.08,0.177792,0.533376,6896.018304,0.4201275,12.08162637,0.318032,9.145661254,0.3839875,11.04234669,2.3790962,68.41578186,869027.0775,837331.2349,857807.3102,875923.0958,844227.2532,864703.3285,861617.8925,3,1,25,128,4,on
d13ec5c1-54b0-43d9-bbf3-6c4df27e9a8f,cifar10_resnet,12646,77.25,2.111,1280,0.788,1.73,50.85,0.16,0.48,6070.08,0.402225,12.02031859,0.30448,9.09925192,0.367625,10.98631269,2.277718,68.0686084,845691.8165,814847.0759,834773.3242,851761.8965,820917.1559,840843.4042,837840.8189,3,1,25,128,4,on
118d0094-1995-4624-b5e5-3aa7c504cb7d,cifar10_resnet,12518,77.25,2.369,1485.824,0.794,1.9545,51.13,0.185728,0.557184,6974.829312,0.45442125,12.10980066,0.343992,9.16698889,0.41533125,11.06809738,2.5732947,68.57532712,843363.7187,812603.8904,832475.2839,850338.548,819578.7197,839450.1132,836455.7936,3,1,25,128,4,on
63d68430-a5ad-462d-862f-0c0461293e02,mnist_resnet,1186,90.74,2.42,391.24,0.783,1.497,51.42,0.048905,0.146715,174.00399,0.3480525,12.1242339,0.263472,9.177914698,0.3181125,11.08128905,1.9709502,68.65705961,79998.52278,77080.7534,78965.68406,80172.52677,77254.75739,79139.68805,78855.6574,3,1,25,128,4,on
f1b30c50-4ba6-4514-ac2c-a6d665ffb638,mnist_resnet,1154,90.74,2.136,402.91,0.6915,1.6959,51.36,0.05036375,0.15109125,174.3593025,0.39429675,12.13298594,0.2984784,9.184539894,0.36037875,11.08928822,2.23282194,68.70662059,77896.23646,75055.14333,76890.53978,78070.59576,75229.50263,77064.89908,76788.33249,3,1,25,128,4,on
f5b7bcfb-7d6c-40d1-8c07-333fae9f6b10,mnist_resnet,1181,90.74,2.384,413.38,0.774,1.621,51.5,0.0516725,0.1550175,183.0756675,0.3768825,12.15653801,0.285296,9.20236856,0.3444625,11.11081431,2.1342086,68.83999117,79873.51231,76960.30241,78842.28757,80056.58797,77143.37808,79025.36323,78741.77643,3,1,25,128,4,on
5c3c6159-d4d7-4c51-9ed9-fc2487fa1f8d,mnist_cnn,1611,91.56,1.706,634.39,1.133,1.533,39.05,0.07929875,0.23789625,383.2508588,0.3564225,9.296364514,0.269808,7.037247976,0.3257625,8.496677244,2.0183478,0,25010.6602,18932.80084,22859.20556,25393.91106,19316.0517,23242.45642,22650.80639,4,4,25,512,4,off
